,,,,,,,,,,,,,,,,,
CATÁLOGO NUMÉRICO DEL ANEXO 2 DE LA  RESOLUCIÓN QUE ESTABLECE EL MECANISMO PARA GARANTIZAR EL PAGO DE CONTRIBUCIONES EN MERCANCÍAS SUJETAS A  PRECIOS ESTIMADOS POR LA  SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO  CATÁLOGO.,,,,,,,,,,,,,,,,,
,,,,,, PRECIO  ESTIMADO  EN DÓLARES DE E.U.A POR UNIDAD  COMERCIAL  Y  POR ANTIGÜEDAD  DEL AÑO MODELO,,,,,,,,,,,
CATALOGO NUMÉRICO,FRACCION ARANCELARIA,NICO,MARCA,DESCRIPCION DE NICO,UNIDAD COMERCIAL,2009,2010,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS, 6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
,8701.20.02,0,,USADOS.,,,,,,,,,,,,,
,8701.20.02,,CATERPILLAR,CATERPILLAR,,,,,,,,,,,,,
1,8701.20.02,,CATERPILLAR,"CT660/681 114""-122"" BBC ALUMINIUM CAB",Pza,,,,,,,,,,"89,350","113,500",
,8701.20.02,,FREIGHTLINER,FREIGHTLINER,,,,,,,,,,,,,
2,8701.20.02,,FREIGHTLINER,ARGOSY 63-110” BBC ALUMINUM TILT CAB,Pza,,,"8,125","9,569","11,013","13,850","16,463","21,500",,,,
3,8701.20.02,,FREIGHTLINER,BUSINESS CLASS M2 112 112” BBC ALUM CAB,Pza,,,,,,,,"25,658",,"35,588",,
4,8701.20.02,,FREIGHTLINER,CASCADIA  113''-125'' BBC ALUMINIUM CAB,Pza,,,,,,,,,,"59,000",,"77,750"
5,8701.20.02,,FREIGHTLINER,"CENTURY    CLASS     112”
BBC ALUMINUM CAB",Pza,,,"6,150",,,,,,,,,
6,8701.20.02,,FREIGHTLINER,"CENTURY    CLASS      S/T
112” BBC  ALUM CAB",Pza,,,"9,650",,,,,,"70,400",,,
7,8701.20.02,,FREIGHTLINER,CENTURY CLASS 120”BBC ALUMINUM CAB,Pza,,,,"8,350","9,625","12,225","14,575",,,,,
8,8701.20.02,,FREIGHTLINER,CENTURY CLASS S/T 120” BBC  ALUM CAB,Pza,,,,,"12,275","15,625","18,075","23,175",,,,
9,8701.20.02,,FREIGHTLINER,COLUMBIA 112” BBC ALUMINUM CAB,Pza,,,,,,"12,225","14,675","18,975",,,,
10,8701.20.02,,FREIGHTLINER,COLUMBIA 120” BBC ALUMINUM CAB,Pza,,,,"11,025","12,275","15,625","18,200","23,525",,,,
11,8701.20.02,,FREIGHTLINER,CONDOR 68” BBC ALUMINUM CAB,Pza,,,,,"43,575","58,450","66,200","73,400",,,,
12,8701.20.02,,FREIGHTLINER,CORONADO 132” BBC ALUMINUM CAB CORONADO,Pza,,,,,,"19,050","24,000","30,225",,,,
13,8701.20.02,,FREIGHTLINER,"CORONADO 122-132"" BBC ALUMINUM CAB",Pza,,,,,,,,,"73,363","86,400","101,440",
14,8701.20.02,,FREIGHTLINER,FL  112” BBC  STEEL  CAB FL112,Pza,,,"6,650","7,975","12,975",,,,,,,
15,8701.20.02,,FREIGHTLINER,FL  112” BBC  STEEL  CAB FL112/BUSINESS   CLASS M2 112” BBC STEEL  CAB,Pza,,,,,,,"22,225",,,,,
16,8701.20.02,,FREIGHTLINER,FLD 112” BBC  ALUMINUM CAB,Pza,,,,,"9,175",,,,,,,
17,8701.20.02,,FREIGHTLINER,FLD       120”-132”      BBC ALUMINUM CAB,Pza,,,,"11,100",,,,,,,,
18,8701.20.02,,FREIGHTLINER,"FLD/CLASSIC        120”-132”
BBC  ALUM CAB",Pza,,,,,,"15,763","18,925","25,125",,,,
19,8701.20.02,,FREIGHTLINER,"FLD SEVERE  DUTY 112”-
120” BBC ALUMINUM CAB",Pza,,,"22,050","27,325","30,075","32,450","35,350",,,,,
20,8701.20.02,,FREIGHTLINER,"SEVERE   DUTY 108-122"" BBC ALUMINIUM CAB",Pza,,,,,,,,,,"88,100",,
,8701.20.02,,INTERNATIONAL,INTERNATIONAL,,,,,,,,,,,,,
21,8701.20.02,,INTERNATIONAL,2/5/7000 SERIES 114-120”BBC STEEL/ALUMINUM CAB,Pza,,,,,"28,118","32,946",,,,,,
22,8701.20.02,,INTERNATIONAL,2/5000 SERIES 114-120”BBC STEEL/ALUMINUM CAB,Pza,,,,"28,613",,,,,,,,
23,8701.20.02,,INTERNATIONAL,5/7000 SERIES 114-120”BBC STEEL/ALUMINUM CAB,Pza,,,,,,,"35,925","39,404",,,,
24,8701.20.02,,INTERNATIONAL,8/9000 SERIES 96”-112”BBC STEEL/ALUMINUM CAB,Pza,,,"8,250","10,583","12,994",,,,,,,
25,8701.20.02,,INTERNATIONAL,85/8600 SERIES 107-113”BBC STEEL CAB,Pza,,,,,,"18,835","21,525","24,338",,,,
26,8701.20.02,,INTERNATIONAL,2000/5000 SERIES 114-120”BBC STEEL/ALUMINUM CAB,Pza,,,"20,625",,,,,,,,,
27,8701.20.02,,INTERNATIONAL,9200-9900 112”-130” BBC ALUMINUM CAB,Pza,,,"10,538","11,344","12,431","16,019","18,500","24,088",,,,
28,8701.20.02,,INTERNATIONAL,"9900/LT/PROSTAR/LONESTAR 113""-132"" BBC ALUMINUM CAB",Pza,,,,,,,,,,,,"76,500"
